Edificio	Nombre	Latitud	Longitud	Campus
5C	Instituto Tecnológico del Agua			Vera
5D	Laboratorio de Acústica Industrial			Vera
5E	Dpto. de Ingeniería Eléctrica			Vera
5E	Dpto. de Ingeniería Mecánica y de Materiales			Vera
5E	Centro de Investigación en Ingeniería Mecánica			Vera
5E	Instituto de Tecnología de Materiales			Vera
5E	Laboratorio de Metrología Dimensional			Vera
5F	ETS Ingeniería Industrial 			Vera
5F	Servicio de Promoción y Normalización Lingüística			Vera
5G	ETS de Ingeniería Industrial			Vera
5H	Dpto. de Mecánica de los Medios Continuos y Teoría de Estructuras			Vera
5H	Instituto Universitario de Seguridad Industrial, Radiofísica y Medioambiental			Vera
5I	Dpto. de Ingeniería Química y Nuclear			Vera
5I	Laboratorio de Radiactividad Ambiental			Vera
5I	Servicio de Radiaciones			Vera
5J	Dpto. de Proyectos de Ingeniería			Vera
5J	Dpto. de Termodinámica Aplicada			Vera
5K	Dpto. de Ingeniería Química y Nuclear			Vera
5K	Instituto Universitario de Seguridad Industrial, Radiofísica y Medioambiental			Vera
5L	ETS de Ingeniería Industrial			Vera
5M	Dpto. de Química			Vera
5M	Instituto Interuniversitario de Investigación de Reconocimiento Molecular y Desarrollo Tecnológico			Vera
5M	UMI UPV-CIPF en Mecanismos de enfermedades y nanomedicina			Vera
5M	Unidad Mixta en Nanomedicina y Sensores entre la Fundación Hospital La Fe y el Instituto de Reconocimiento			Vera
5N	ETS de Ingeniería Industrial			Vera
5O	Seguridad			Vera
5O	Servicio de Mantenimiento			Vera
5P	Invernaderos			Vera
5Q	ETS de Ingeniería Industrial			Vera
5R	Servicio de Deportes			Vera
5S	Autoescuela Jordá			Vera
5S	Bazar de deportes			Vera
5S	Tienda de electrónica e informática			Vera
6A	Servicio de Deportes			Vera
6A	Pabellón polideportivo			Vera
6B	Colegio Mayor Galileo Galilei			Vera
6C	Instituto Universitario Mixto de Tecnología Química			Vera
6C	Instituto de Tecnología Eléctrica			Vera
6D	Dpto. de Máquinas y Motores Térmicos			Vera
6D	Instituto Universitario CMT - Motores Térmicos			Vera
6D	Centro de Tecnologías Físicas: Acústica, Materiales y Astrofísica			Vera
6D	Centro Tecnológico de Ondas Unidas Asociada CSIC-UPC			Vera
6D	Instituto de Infraestructura del Transporte y del Material Móvil			Vera
6D	GEM Biosoft, S.L.			Vera
6D	Principiatech Valencia			Vera
6E	Centro de Salud Juana Portaceli			Vera
6E	Servicio Integrado de Prevención de Salud Labor			Vera
6E	Clínica dental UPV			Vera
6E	UPV/FISIO			Vera
6E	Sección Sindical de Comisiones Obreras de la UPV (CCOO)			Vera
6E	Sindicato de Trabajadores de la Enseñanza del País Valenciano			Vera
6F	Piscina cubierta			Vera
6F	Pista de Tenis			Vera
6G	Vicerrectorado de Empleo y Emprendimiento			Vera
6G	Área de Acción Internacional			Vera
6G	Área de Centro de Formación Permanente			Vera
6G	Área de Comunicación			Vera
6G	Área de Instituto de Ciencias de la Educación			Vera
6G	Área de Programas de Investigación e Innovación			Vera
6G	Centro de Cooperación al Desarrollo			Vera
6G	Oficina de Acción Internacional			Vera
6G	Programa de Cátedras de Empresa			Vera
6G	Servicio de Gestión de la I+D+i			Vera
6G	Servicio Integrado de Empleo			Vera
6G	Unidad de Medio Ambiente			Vera
6G	Edificio Nexus (6G). Salón de actos			Vera
6G	Edificio Nexus (6G). Conserjería			Vera
7A	Dpto. de Estadística e Investigación Operativa Aplicadas y Calidad			Vera
7A	Dpto. de Matemática Aplicada			Vera
7A	Área de Sistemas de la Información y las Comunicaciones			Vera
7A	Universidad Sénior			Vera
7B	ETS de Ingeniería del Diseño			Vera
7B	Museo del Juguete			Vera
7D	Dpto. De Organización de Empresas			Vera
7E	ETS de Ingeniería del Diseño			Vera
7F	Dpto. de Ingeniería Electrónica			Vera
7F	Radio Club			Vera
7G	Dpto. de Ciencia Animal			Vera
7G	Instituto Universitario de Ciencia y Tecnología Animal			Vera
7G	UA del Inst. Ciencia y Tec. Animal UPV			Vera
7H	Granjas			Vera
7I	ETSI Geodésica, Cartográfica y Topográfica 			Vera
7I	Dpto. de Ingeniería Cartográfica Geodesia y Fotogrametría			Vera
7I	Servicio de Calibración Industrial			Vera
7J	Facultad de Administración y Dirección de Empresas			Vera
7J	Dpto. de Economía y Ciencias Sociales			Vera
7J	Centro de Investigación de Ingeniería Económica			Vera
7J	Centro de Investigación en Gestión de Empresas			Vera
7L	Laboratorio Pedro Duque			Vera
8A				Vera
8B 	IDEAS UPV			Vera
8B 	Instituto Universitario de Restauración del Patrimonio			Vera
8B 	Centro de Investigación Arte y Entorno			Vera
8B 	Centro de Investigación e Innovación en Bioingeniería			Vera
8B 	Centro de Investigación Pattern Recognition and Human Language Technology			Vera
8B 	Instituto de Investigación e Innovación en Bioingeniería			Vera
8B 	Instituto de Instrumentación para Imagen Molecular			Vera
8B 	UIC en Cloud Computing entre INDRA SA y el Ins. De Instrumentación en Imagen Molecular			Vera
8B 	CDD- Centre de Documentació IMPIVA disseny			Vera
8C				Vera
8D	Dpto. de Física Aplicada			Vera
8D	Servicio de Microscopía Electrónica			Vera
8E	Instituto Universitario de Conservación y Mejora de la Agrodiversidad Valenciana			Vera
